id_lokasi;waktu;suhu_minimum;suhu_maksimum;kelembapan_minimum;kelembapan_maksimum;kelembapan_udara;suhu_udara;cuaca;arah_angin;kecepatan_angin
5008194;18/12/2023 00:00;;;;;95;19;0;S;10
5008194;18/12/2023 03:00;;;;;80;24;0;S;10
5008194;18/12/2023 06:00;;;;;65;27;3;S;30
5008194;18/12/2023 09:00;;;;;80;21;1;S;30
5008194;18/12/2023 12:00;15;27;65;95;90;19;3;SW;20
5008194;18/12/2023 15:00;;;;;90;17;1;SW;10
5008194;18/12/2023 18:00;;;;;90;18;1;S;10
5008194;18/12/2023 21:00;;;;;95;15;1;SE;0
5008194;19/12/2023 00:00;;;;;85;19;0;SW;10
5008194;19/12/2023 03:00;;;;;70;24;0;SW;20
5008194;19/12/2023 06:00;;;;;65;28;3;SW;30
5008194;19/12/2023 09:00;;;;;70;24;0;SW;30
5008194;19/12/2023 12:00;17;28;65;95;90;18;3;SW;20
5008194;19/12/2023 15:00;;;;;95;17;1;SW;10
5008194;19/12/2023 18:00;;;;;90;20;1;SW;10
5008194;19/12/2023 21:00;;;;;90;20;0;SW;10
5008194;20/12/2023 00:00;;;;;70;19;0;SW;10
5008194;20/12/2023 03:00;;;;;65;22;0;SE;20
5008194;20/12/2023 06:00;;;;;75;27;0;SW;20
5008194;20/12/2023 09:00;;;;;85;20;1;SE;10
5008194;20/12/2023 12:00;16;27;65;95;95;17;1;S;10
5008194;20/12/2023 15:00;;;;;95;16;1;S;10
5008194;20/12/2023 18:00;;;;;80;16;1;SW;10
5008194;20/12/2023 21:00;;;;;80;16;0;SW;10
5008194;21/12/2023 00:00;;;;;80;20;0;NE;10
5008194;21/12/2023 06:00;;;;;85;21;1;N;0
5008194;21/12/2023 12:00;18;21;80;95;95;18;3;NE;10
5008194;21/12/2023 18:00;;;;;85;18;1;S;0
5008194;22/12/2023 00:00;;;;;85;20;0;N;0
5008194;22/12/2023 06:00;;;;;75;23;0;NW;10
5008194;22/12/2023 12:00;16;23;75;95;95;19;3;NE;0
5008194;22/12/2023 18:00;;;;;90;16;1;E;10
5008194;23/12/2023 00:00;;;;;85;20;1;NE;0
5008194;23/12/2023 06:00;;;;;70;23;60;N;10
5008194;23/12/2023 12:00;17;23;70;95;95;18;1;E;0
5008194;23/12/2023 18:00;;;;;90;17;1;SE;0
5008194;24/12/2023 00:00;;;;;85;20;0;NE;10
5008194;24/12/2023 06:00;;;;;85;22;60;N;0
5008194;24/12/2023 12:00;16;22;85;100;100;18;3;NE;0
5008194;24/12/2023 18:00;;;;;95;16;1;N;0
5008235;18/12/2023 00:00;;;;;85;23;0;S;10
